Date,Month,Region,State,Salesperson,Customer,Product,Category,Units,Unit Price,Sales,Cost,Profit,Channel,Target,Returned
1/8/2025,January,North,Delhi,Arun,Cust679,Laptop,Electronics,1,65000.00,65000.00,52000.00,13000.00,Online,71500.00,No
1/9/2025,January,South,Tamil Nadu,Meera,Cust228,Monitor,Electronics,3,15000.00,45000.00,33000.00,12000.00,Online,49500.00,No
1/9/2025,January,West,Maharashtra,Arun,Cust480,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Distributor,715000.00,No
1/9/2025,January,North,Delhi,Karan,Cust911,Printer,Electronics,9,18000.00,162000.00,130500.00,31500.00,Online,178200.00,No
1/10/2025,January,South,Tamil Nadu,Arun,Cust543,Desk,Furniture,4,12000.00,48000.00,36000.00,12000.00,Online,52800.00,No
1/10/2025,January,South,Tamil Nadu,Priya,Cust800,Monitor,Electronics,11,15000.00,165000.00,121000.00,44000.00,Retail,181500.00,No
1/10/2025,January,South,Tamil Nadu,Neha,Cust731,Printer,Electronics,9,18000.00,162000.00,130500.00,31500.00,Online,178200.00,No
1/11/2025,January,West,Maharashtra,Neha,Cust367,Desk,Furniture,7,12000.00,84000.00,63000.00,21000.00,Retail,92400.00,No
1/11/2025,January,North,Delhi,Vijay,Cust996,Laptop,Electronics,11,65000.00,715000.00,572000.00,143000.00,Online,786500.00,No
1/11/2025,January,South,Karnataka,Asha,Cust869,Desk,Furniture,5,12000.00,60000.00,45000.00,15000.00,Retail,66000.00,No
1/12/2025,January,West,Maharashtra,Rahul,Cust516,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Distributor,715000.00,No
1/12/2025,January,East,West Bengal,Asha,Cust232,Laptop,Electronics,11,65000.00,715000.00,572000.00,143000.00,Retail,786500.00,No
1/12/2025,January,West,Maharashtra,Priya,Cust750,Chair,Furniture,9,7000.00,63000.00,45000.00,18000.00,Retail,69300.00,No
1/13/2025,January,East,West Bengal,Karan,Cust105,Desk,Furniture,5,12000.00,60000.00,45000.00,15000.00,Retail,66000.00,No
1/13/2025,January,North,Delhi,Asha,Cust352,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Online,77000.00,No
1/13/2025,January,North,Delhi,Arun,Cust442,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Retail,79200.00,No
1/14/2025,January,South,Tamil Nadu,Karan,Cust677,Chair,Furniture,7,7000.00,49000.00,35000.00,14000.00,Online,53900.00,No
1/14/2025,January,North,Delhi,Neha,Cust231,Monitor,Electronics,5,15000.00,75000.00,55000.00,20000.00,Online,82500.00,No
1/14/2025,January,East,West Bengal,Asha,Cust101,Laptop,Electronics,12,65000.00,780000.00,624000.00,156000.00,Online,858000.00,Yes
1/15/2025,January,South,Karnataka,Rahul,Cust859,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Online,15400.00,No
1/15/2025,January,South,Tamil Nadu,Neha,Cust755,Laptop,Electronics,11,65000.00,715000.00,572000.00,143000.00,Online,786500.00,No
1/15/2025,January,South,Tamil Nadu,Rahul,Cust826,Chair,Furniture,8,7000.00,56000.00,40000.00,16000.00,Retail,61600.00,No
1/16/2025,January,East,West Bengal,Priya,Cust593,Printer,Electronics,6,18000.00,108000.00,87000.00,21000.00,Distributor,118800.00,No
1/16/2025,January,North,Delhi,Vijay,Cust814,Monitor,Electronics,1,15000.00,15000.00,11000.00,4000.00,Online,16500.00,No
1/16/2025,January,North,Delhi,Priya,Cust315,Desk,Furniture,11,12000.00,132000.00,99000.00,33000.00,Online,145200.00,No
1/17/2025,January,South,Tamil Nadu,Asha,Cust706,Laptop,Electronics,8,65000.00,520000.00,416000.00,104000.00,Retail,572000.00,No
1/17/2025,January,North,Delhi,Asha,Cust321,Laptop,Electronics,6,65000.00,390000.00,312000.00,78000.00,Retail,429000.00,No
1/17/2025,January,North,Delhi,Priya,Cust709,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Retail,715000.00,No
1/18/2025,January,West,Maharashtra,Asha,Cust162,Chair,Furniture,6,7000.00,42000.00,30000.00,12000.00,Distributor,46200.00,No
1/18/2025,January,North,Delhi,Priya,Cust820,Monitor,Electronics,11,15000.00,165000.00,121000.00,44000.00,Online,181500.00,No
1/18/2025,January,West,Maharashtra,Neha,Cust753,Chair,Furniture,12,7000.00,84000.00,60000.00,24000.00,Retail,92400.00,No
1/19/2025,January,South,Karnataka,Priya,Cust256,Desk,Furniture,5,12000.00,60000.00,45000.00,15000.00,Online,66000.00,No
1/19/2025,January,East,West Bengal,Arun,Cust991,Printer,Electronics,5,18000.00,90000.00,72500.00,17500.00,Distributor,99000.00,No
1/19/2025,January,North,Delhi,Karan,Cust662,Monitor,Electronics,12,15000.00,180000.00,132000.00,48000.00,Distributor,198000.00,No
1/20/2025,January,South,Karnataka,Vijay,Cust768,Chair,Furniture,12,7000.00,84000.00,60000.00,24000.00,Retail,92400.00,No
1/20/2025,January,West,Maharashtra,Priya,Cust666,Monitor,Electronics,7,15000.00,105000.00,77000.00,28000.00,Distributor,115500.00,No
1/20/2025,January,South,Karnataka,Neha,Cust221,Printer,Electronics,3,18000.00,54000.00,43500.00,10500.00,Online,59400.00,No
1/21/2025,January,North,Delhi,Priya,Cust822,Monitor,Electronics,12,15000.00,180000.00,132000.00,48000.00,Retail,198000.00,No
1/21/2025,January,West,Maharashtra,Meera,Cust558,Printer,Electronics,7,18000.00,126000.00,101500.00,24500.00,Distributor,138600.00,No
1/21/2025,January,South,Tamil Nadu,Rahul,Cust916,Printer,Electronics,8,18000.00,144000.00,116000.00,28000.00,Retail,158400.00,No
1/22/2025,January,South,Tamil Nadu,Asha,Cust127,Desk,Furniture,10,12000.00,120000.00,90000.00,30000.00,Distributor,132000.00,No
1/22/2025,January,South,Tamil Nadu,Karan,Cust359,Chair,Furniture,4,7000.00,28000.00,20000.00,8000.00,Distributor,30800.00,No
1/22/2025,January,South,Tamil Nadu,Priya,Cust300,Monitor,Electronics,2,15000.00,30000.00,22000.00,8000.00,Online,33000.00,No
1/23/2025,January,South,Karnataka,Asha,Cust372,Chair,Furniture,7,7000.00,49000.00,35000.00,14000.00,Retail,53900.00,No
1/23/2025,January,East,West Bengal,Vijay,Cust129,Printer,Electronics,5,18000.00,90000.00,72500.00,17500.00,Online,99000.00,No
1/23/2025,January,West,Maharashtra,Rahul,Cust123,Printer,Electronics,8,18000.00,144000.00,116000.00,28000.00,Retail,158400.00,No
1/24/2025,January,East,West Bengal,Arun,Cust633,Monitor,Electronics,9,15000.00,135000.00,99000.00,36000.00,Online,148500.00,No
1/24/2025,January,West,Maharashtra,Rahul,Cust958,Desk,Furniture,5,12000.00,60000.00,45000.00,15000.00,Distributor,66000.00,No
1/24/2025,January,West,Maharashtra,Rahul,Cust642,Monitor,Electronics,8,15000.00,120000.00,88000.00,32000.00,Online,132000.00,No
1/25/2025,January,East,West Bengal,Arun,Cust790,Printer,Electronics,9,18000.00,162000.00,130500.00,31500.00,Online,178200.00,No
1/25/2025,January,South,Tamil Nadu,Meera,Cust881,Printer,Electronics,10,18000.00,180000.00,145000.00,35000.00,Distributor,198000.00,No
1/25/2025,January,East,West Bengal,Meera,Cust484,Monitor,Electronics,1,15000.00,15000.00,11000.00,4000.00,Distributor,16500.00,No
1/26/2025,January,South,Karnataka,Arun,Cust471,Laptop,Electronics,4,65000.00,260000.00,208000.00,52000.00,Online,286000.00,No
1/26/2025,January,South,Karnataka,Meera,Cust666,Monitor,Electronics,11,15000.00,165000.00,121000.00,44000.00,Retail,181500.00,No
1/26/2025,January,East,West Bengal,Karan,Cust767,Chair,Furniture,8,7000.00,56000.00,40000.00,16000.00,Retail,61600.00,No
1/27/2025,January,West,Maharashtra,Rahul,Cust757,Desk,Furniture,4,12000.00,48000.00,36000.00,12000.00,Retail,52800.00,No
1/27/2025,January,North,Delhi,Asha,Cust783,Monitor,Electronics,6,15000.00,90000.00,66000.00,24000.00,Retail,99000.00,No
1/27/2025,January,South,Karnataka,Karan,Cust492,Chair,Furniture,5,7000.00,35000.00,25000.00,10000.00,Retail,38500.00,No
1/28/2025,January,North,Delhi,Priya,Cust827,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Online,15400.00,No
1/28/2025,January,North,Delhi,Asha,Cust229,Monitor,Electronics,5,15000.00,75000.00,55000.00,20000.00,Distributor,82500.00,No
1/28/2025,January,North,Delhi,Priya,Cust813,Monitor,Electronics,1,15000.00,15000.00,11000.00,4000.00,Distributor,16500.00,No
1/29/2025,January,North,Delhi,Meera,Cust917,Monitor,Electronics,8,15000.00,120000.00,88000.00,32000.00,Retail,132000.00,No
1/29/2025,January,North,Delhi,Vijay,Cust182,Desk,Furniture,10,12000.00,120000.00,90000.00,30000.00,Online,132000.00,No
1/29/2025,January,East,West Bengal,Priya,Cust877,Desk,Furniture,3,12000.00,36000.00,27000.00,9000.00,Online,39600.00,No
1/30/2025,January,South,Karnataka,Vijay,Cust879,Laptop,Electronics,9,65000.00,585000.00,468000.00,117000.00,Retail,643500.00,No
1/30/2025,January,North,Delhi,Vijay,Cust371,Chair,Furniture,1,7000.00,7000.00,5000.00,2000.00,Distributor,7700.00,No
1/30/2025,January,South,Tamil Nadu,Rahul,Cust241,Printer,Electronics,6,18000.00,108000.00,87000.00,21000.00,Online,118800.00,No
1/31/2025,January,South,Tamil Nadu,Arun,Cust610,Chair,Furniture,9,7000.00,63000.00,45000.00,18000.00,Distributor,69300.00,No
1/31/2025,January,South,Karnataka,Rahul,Cust824,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Distributor,715000.00,No
1/31/2025,January,South,Karnataka,Rahul,Cust439,Desk,Furniture,7,12000.00,84000.00,63000.00,21000.00,Online,92400.00,No
2/1/2025,February,East,West Bengal,Priya,Cust541,Monitor,Electronics,5,15000.00,75000.00,55000.00,20000.00,Distributor,82500.00,No
2/1/2025,February,West,Maharashtra,Neha,Cust932,Chair,Furniture,11,7000.00,77000.00,55000.00,22000.00,Distributor,84700.00,No
2/1/2025,February,South,Tamil Nadu,Vijay,Cust324,Printer,Electronics,3,18000.00,54000.00,43500.00,10500.00,Retail,59400.00,No
2/2/2025,February,East,West Bengal,Arun,Cust766,Monitor,Electronics,10,15000.00,150000.00,110000.00,40000.00,Retail,165000.00,No
2/2/2025,February,East,West Bengal,Arun,Cust583,Laptop,Electronics,6,65000.00,390000.00,312000.00,78000.00,Online,429000.00,No
2/2/2025,February,West,Maharashtra,Karan,Cust504,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Distributor,39600.00,No
2/3/2025,February,South,Karnataka,Vijay,Cust582,Chair,Furniture,12,7000.00,84000.00,60000.00,24000.00,Online,92400.00,No
2/3/2025,February,South,Tamil Nadu,Priya,Cust330,Printer,Electronics,9,18000.00,162000.00,130500.00,31500.00,Retail,178200.00,No
2/3/2025,February,South,Karnataka,Arun,Cust626,Printer,Electronics,12,18000.00,216000.00,174000.00,42000.00,Distributor,237600.00,No
2/4/2025,February,East,West Bengal,Karan,Cust599,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Distributor,715000.00,No
2/4/2025,February,South,Tamil Nadu,Asha,Cust184,Desk,Furniture,9,12000.00,108000.00,81000.00,27000.00,Distributor,118800.00,No
2/4/2025,February,South,Karnataka,Meera,Cust807,Chair,Furniture,12,7000.00,84000.00,60000.00,24000.00,Distributor,92400.00,No
2/5/2025,February,North,Delhi,Rahul,Cust376,Desk,Furniture,7,12000.00,84000.00,63000.00,21000.00,Online,92400.00,No
2/5/2025,February,North,Delhi,Arun,Cust384,Chair,Furniture,5,7000.00,35000.00,25000.00,10000.00,Retail,38500.00,No
2/5/2025,February,South,Tamil Nadu,Priya,Cust454,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Online,77000.00,No
2/6/2025,February,South,Karnataka,Asha,Cust461,Printer,Electronics,3,18000.00,54000.00,43500.00,10500.00,Distributor,59400.00,No
2/6/2025,February,South,Tamil Nadu,Meera,Cust572,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Distributor,77000.00,No
2/6/2025,February,South,Karnataka,Asha,Cust324,Monitor,Electronics,4,15000.00,60000.00,44000.00,16000.00,Distributor,66000.00,Yes
2/7/2025,February,West,Maharashtra,Vijay,Cust546,Printer,Electronics,10,18000.00,180000.00,145000.00,35000.00,Retail,198000.00,No
2/7/2025,February,South,Tamil Nadu,Neha,Cust502,Printer,Electronics,5,18000.00,90000.00,72500.00,17500.00,Retail,99000.00,No
2/7/2025,February,West,Maharashtra,Priya,Cust759,Chair,Furniture,3,7000.00,21000.00,15000.00,6000.00,Online,23100.00,No
2/8/2025,February,North,Delhi,Neha,Cust462,Desk,Furniture,1,12000.00,12000.00,9000.00,3000.00,Online,13200.00,No
2/8/2025,February,South,Karnataka,Asha,Cust733,Monitor,Electronics,6,15000.00,90000.00,66000.00,24000.00,Online,99000.00,No
2/8/2025,February,West,Maharashtra,Rahul,Cust274,Desk,Furniture,5,12000.00,60000.00,45000.00,15000.00,Online,66000.00,No
2/9/2025,February,East,West Bengal,Karan,Cust998,Laptop,Electronics,8,65000.00,520000.00,416000.00,104000.00,Online,572000.00,No
2/9/2025,February,South,Karnataka,Meera,Cust259,Monitor,Electronics,4,15000.00,60000.00,44000.00,16000.00,Online,66000.00,No
2/9/2025,February,South,Tamil Nadu,Rahul,Cust165,Monitor,Electronics,2,15000.00,30000.00,22000.00,8000.00,Online,33000.00,No
2/10/2025,February,East,West Bengal,Karan,Cust271,Monitor,Electronics,3,15000.00,45000.00,33000.00,12000.00,Retail,49500.00,Yes
2/10/2025,February,South,Tamil Nadu,Meera,Cust959,Laptop,Electronics,6,65000.00,390000.00,312000.00,78000.00,Online,429000.00,No
2/10/2025,February,East,West Bengal,Asha,Cust887,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Distributor,77000.00,No
2/11/2025,February,North,Delhi,Priya,Cust263,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Distributor,77000.00,No
2/11/2025,February,South,Tamil Nadu,Meera,Cust418,Chair,Furniture,8,7000.00,56000.00,40000.00,16000.00,Retail,61600.00,No
2/11/2025,February,East,West Bengal,Meera,Cust718,Desk,Furniture,11,12000.00,132000.00,99000.00,33000.00,Online,145200.00,No
2/12/2025,February,West,Maharashtra,Neha,Cust374,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Retail,79200.00,No
2/12/2025,February,South,Tamil Nadu,Meera,Cust368,Printer,Electronics,1,18000.00,18000.00,14500.00,3500.00,Retail,19800.00,No
2/12/2025,February,West,Maharashtra,Meera,Cust876,Desk,Furniture,12,12000.00,144000.00,108000.00,36000.00,Retail,158400.00,No
2/13/2025,February,South,Karnataka,Priya,Cust829,Monitor,Electronics,3,15000.00,45000.00,33000.00,12000.00,Distributor,49500.00,No
2/13/2025,February,East,West Bengal,Vijay,Cust958,Chair,Furniture,9,7000.00,63000.00,45000.00,18000.00,Distributor,69300.00,Yes
2/13/2025,February,East,West Bengal,Neha,Cust727,Desk,Furniture,7,12000.00,84000.00,63000.00,21000.00,Distributor,92400.00,No
2/14/2025,February,South,Tamil Nadu,Rahul,Cust629,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Online,79200.00,No
2/14/2025,February,North,Delhi,Arun,Cust313,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Distributor,15400.00,No
2/14/2025,February,North,Delhi,Asha,Cust187,Printer,Electronics,3,18000.00,54000.00,43500.00,10500.00,Online,59400.00,No
2/15/2025,February,South,Tamil Nadu,Priya,Cust498,Chair,Furniture,3,7000.00,21000.00,15000.00,6000.00,Retail,23100.00,No
2/15/2025,February,West,Maharashtra,Rahul,Cust319,Printer,Electronics,6,18000.00,108000.00,87000.00,21000.00,Online,118800.00,No
2/15/2025,February,North,Delhi,Rahul,Cust315,Monitor,Electronics,8,15000.00,120000.00,88000.00,32000.00,Distributor,132000.00,No
2/16/2025,February,North,Delhi,Rahul,Cust984,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Distributor,39600.00,No
2/16/2025,February,South,Karnataka,Karan,Cust297,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Distributor,39600.00,No
2/16/2025,February,South,Tamil Nadu,Rahul,Cust873,Chair,Furniture,4,7000.00,28000.00,20000.00,8000.00,Online,30800.00,No
2/17/2025,February,South,Tamil Nadu,Arun,Cust321,Laptop,Electronics,6,65000.00,390000.00,312000.00,78000.00,Distributor,429000.00,No
2/17/2025,February,West,Maharashtra,Karan,Cust114,Printer,Electronics,12,18000.00,216000.00,174000.00,42000.00,Online,237600.00,No
2/17/2025,February,East,West Bengal,Arun,Cust147,Printer,Electronics,4,18000.00,72000.00,58000.00,14000.00,Distributor,79200.00,No
2/18/2025,February,South,Tamil Nadu,Asha,Cust553,Laptop,Electronics,7,65000.00,455000.00,364000.00,91000.00,Distributor,500500.00,No
2/18/2025,February,North,Delhi,Neha,Cust366,Laptop,Electronics,1,65000.00,65000.00,52000.00,13000.00,Retail,71500.00,No
2/18/2025,February,South,Karnataka,Arun,Cust952,Chair,Furniture,1,7000.00,7000.00,5000.00,2000.00,Distributor,7700.00,No
2/19/2025,February,East,West Bengal,Karan,Cust104,Monitor,Electronics,10,15000.00,150000.00,110000.00,40000.00,Retail,165000.00,No
2/19/2025,February,West,Maharashtra,Arun,Cust210,Monitor,Electronics,3,15000.00,45000.00,33000.00,12000.00,Online,49500.00,Yes
2/19/2025,February,West,Maharashtra,Neha,Cust765,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Online,15400.00,No
2/20/2025,February,East,West Bengal,Asha,Cust815,Laptop,Electronics,7,65000.00,455000.00,364000.00,91000.00,Distributor,500500.00,No
2/20/2025,February,East,West Bengal,Neha,Cust548,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Retail,39600.00,No
2/20/2025,February,South,Karnataka,Rahul,Cust398,Chair,Furniture,7,7000.00,49000.00,35000.00,14000.00,Distributor,53900.00,No
2/21/2025,February,South,Tamil Nadu,Asha,Cust107,Monitor,Electronics,6,15000.00,90000.00,66000.00,24000.00,Retail,99000.00,Yes
2/21/2025,February,East,West Bengal,Priya,Cust466,Desk,Furniture,9,12000.00,108000.00,81000.00,27000.00,Online,118800.00,No
2/21/2025,February,North,Delhi,Priya,Cust879,Laptop,Electronics,10,65000.00,650000.00,520000.00,130000.00,Online,715000.00,No
2/22/2025,February,South,Tamil Nadu,Vijay,Cust948,Desk,Furniture,11,12000.00,132000.00,99000.00,33000.00,Distributor,145200.00,No
2/22/2025,February,West,Maharashtra,Priya,Cust224,Laptop,Electronics,6,65000.00,390000.00,312000.00,78000.00,Retail,429000.00,No
2/22/2025,February,East,West Bengal,Asha,Cust115,Monitor,Electronics,10,15000.00,150000.00,110000.00,40000.00,Online,165000.00,No
2/23/2025,February,South,Karnataka,Asha,Cust439,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Retail,15400.00,No
2/23/2025,February,South,Karnataka,Neha,Cust904,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Online,79200.00,No
2/23/2025,February,West,Maharashtra,Meera,Cust653,Monitor,Electronics,5,15000.00,75000.00,55000.00,20000.00,Online,82500.00,No
2/24/2025,February,South,Karnataka,Rahul,Cust601,Chair,Furniture,7,7000.00,49000.00,35000.00,14000.00,Distributor,53900.00,No
2/24/2025,February,South,Tamil Nadu,Arun,Cust595,Desk,Furniture,12,12000.00,144000.00,108000.00,36000.00,Retail,158400.00,No
2/24/2025,February,West,Maharashtra,Karan,Cust784,Chair,Furniture,11,7000.00,77000.00,55000.00,22000.00,Retail,84700.00,No
2/25/2025,February,West,Maharashtra,Vijay,Cust118,Printer,Electronics,8,18000.00,144000.00,116000.00,28000.00,Retail,158400.00,No
2/25/2025,February,South,Karnataka,Karan,Cust627,Printer,Electronics,11,18000.00,198000.00,159500.00,38500.00,Online,217800.00,No
2/25/2025,February,East,West Bengal,Rahul,Cust642,Chair,Furniture,9,7000.00,63000.00,45000.00,18000.00,Retail,69300.00,No
2/26/2025,February,South,Karnataka,Karan,Cust718,Monitor,Electronics,8,15000.00,120000.00,88000.00,32000.00,Distributor,132000.00,No
2/26/2025,February,West,Maharashtra,Arun,Cust718,Laptop,Electronics,8,65000.00,520000.00,416000.00,104000.00,Distributor,572000.00,No
2/26/2025,February,South,Karnataka,Meera,Cust647,Printer,Electronics,12,18000.00,216000.00,174000.00,42000.00,Distributor,237600.00,No
2/27/2025,February,East,West Bengal,Priya,Cust210,Laptop,Electronics,11,65000.00,715000.00,572000.00,143000.00,Online,786500.00,No
2/27/2025,February,South,Karnataka,Priya,Cust648,Laptop,Electronics,7,65000.00,455000.00,364000.00,91000.00,Distributor,500500.00,No
2/27/2025,February,South,Tamil Nadu,Rahul,Cust546,Printer,Electronics,8,18000.00,144000.00,116000.00,28000.00,Retail,158400.00,No
2/28/2025,February,South,Karnataka,Vijay,Cust434,Desk,Furniture,3,12000.00,36000.00,27000.00,9000.00,Distributor,39600.00,Yes
2/28/2025,February,North,Delhi,Neha,Cust435,Chair,Furniture,11,7000.00,77000.00,55000.00,22000.00,Distributor,84700.00,No
2/28/2025,February,North,Delhi,Karan,Cust433,Printer,Electronics,7,18000.00,126000.00,101500.00,24500.00,Distributor,138600.00,No
3/1/2025,March,East,West Bengal,Asha,Cust693,Printer,Electronics,5,18000.00,90000.00,72500.00,17500.00,Distributor,99000.00,No
3/1/2025,March,South,Karnataka,Karan,Cust640,Laptop,Electronics,9,65000.00,585000.00,468000.00,117000.00,Distributor,643500.00,No
3/1/2025,March,East,West Bengal,Priya,Cust749,Laptop,Electronics,9,65000.00,585000.00,468000.00,117000.00,Online,643500.00,Yes
3/2/2025,March,East,West Bengal,Karan,Cust898,Laptop,Electronics,3,65000.00,195000.00,156000.00,39000.00,Online,214500.00,No
3/2/2025,March,North,Delhi,Meera,Cust449,Printer,Electronics,5,18000.00,90000.00,72500.00,17500.00,Retail,99000.00,No
3/2/2025,March,East,West Bengal,Neha,Cust632,Desk,Furniture,10,12000.00,120000.00,90000.00,30000.00,Distributor,132000.00,No
3/3/2025,March,West,Maharashtra,Vijay,Cust750,Laptop,Electronics,8,65000.00,520000.00,416000.00,104000.00,Distributor,572000.00,No
3/3/2025,March,North,Delhi,Asha,Cust627,Monitor,Electronics,6,15000.00,90000.00,66000.00,24000.00,Distributor,99000.00,No
3/3/2025,March,West,Maharashtra,Rahul,Cust942,Monitor,Electronics,7,15000.00,105000.00,77000.00,28000.00,Online,115500.00,No
3/4/2025,March,South,Karnataka,Rahul,Cust522,Monitor,Electronics,1,15000.00,15000.00,11000.00,4000.00,Distributor,16500.00,No
3/4/2025,March,North,Delhi,Neha,Cust368,Printer,Electronics,1,18000.00,18000.00,14500.00,3500.00,Online,19800.00,No
3/4/2025,March,West,Maharashtra,Karan,Cust144,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Online,39600.00,No
3/5/2025,March,South,Karnataka,Karan,Cust735,Monitor,Electronics,4,15000.00,60000.00,44000.00,16000.00,Distributor,66000.00,No
3/5/2025,March,South,Tamil Nadu,Priya,Cust345,Monitor,Electronics,4,15000.00,60000.00,44000.00,16000.00,Retail,66000.00,No
3/5/2025,March,East,West Bengal,Neha,Cust985,Monitor,Electronics,9,15000.00,135000.00,99000.00,36000.00,Online,148500.00,No
3/6/2025,March,North,Delhi,Meera,Cust564,Chair,Furniture,2,7000.00,14000.00,10000.00,4000.00,Online,15400.00,No
3/6/2025,March,North,Delhi,Karan,Cust573,Printer,Electronics,10,18000.00,180000.00,145000.00,35000.00,Distributor,198000.00,No
3/6/2025,March,South,Karnataka,Neha,Cust408,Desk,Furniture,1,12000.00,12000.00,9000.00,3000.00,Distributor,13200.00,No
3/7/2025,March,West,Maharashtra,Asha,Cust575,Chair,Furniture,11,7000.00,77000.00,55000.00,22000.00,Retail,84700.00,No
3/7/2025,March,West,Maharashtra,Vijay,Cust630,Monitor,Electronics,10,15000.00,150000.00,110000.00,40000.00,Online,165000.00,No
3/7/2025,March,North,Delhi,Meera,Cust595,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Distributor,79200.00,No
3/8/2025,March,East,West Bengal,Meera,Cust560,Desk,Furniture,9,12000.00,108000.00,81000.00,27000.00,Distributor,118800.00,No
3/8/2025,March,West,Maharashtra,Asha,Cust822,Chair,Furniture,12,7000.00,84000.00,60000.00,24000.00,Online,92400.00,No
